clip	seed	metric	gmr_final100	snmr_final100	favorable_effect
fight1	0	Env/motion/error_ref_lin_vel	0.8613112	0.86624564	-0.0049344432
fight1	0	Env/motion/error_ref_ang_vel	2.2154573	2.1527144	0.062742877
fight1	0	Env/motion/error_body_pos	6.857322	6.8679598	-0.010637794
fight1	0	Env/motion/error_body_rot	0.68249251	0.6553658	0.027126709
fight1	0	Env/motion/error_body_lin_vel	1.1671923	1.1692207	-0.0020284498
fight1	0	Env/motion/error_body_ang_vel	3.177257	3.1691186	0.0081384659
fight1	0	Env/motion/error_joint_pos	1.6810933	1.5801766	0.10091675
fight1	0	Env/motion/error_joint_vel	11.860135	11.549353	0.31078252
fight1	1	Train/mean_reward	0.57286131	0.59290818	0.020046871
fight1	1	Train/mean_episode_length	34.1828	35.0756	0.89279987
fight1	1	Env/average_episode_length	34.110395	34.919223	0.80882801
fight1	1	Env/motion/error_ref_pos	0.2508128	0.25964375	-0.0088309518
fight1	1	Env/motion/error_ref_rot	0.24629655	0.24863468	-0.0023381279
fight1	1	Env/motion/error_ref_lin_vel	0.86833042	0.88094366	-0.012613238
fight1	1	Env/motion/error_ref_ang_vel	2.2118822	2.1493633	0.062518916
fight1	1	Env/motion/error_body_pos	6.869399	6.8832342	-0.013835154
fight1	1	Env/motion/error_body_rot	0.67366413	0.65410771	0.019556416
fight1	1	Env/motion/error_body_lin_vel	1.1808594	1.180833	2.6386976e-05
fight1	1	Env/motion/error_body_ang_vel	3.1869907	3.1922001	-0.005209403
fight1	1	Env/motion/error_joint_pos	1.6344257	1.5454932	0.088932437
fight1	1	Env/motion/error_joint_vel	11.891324	11.596793	0.29453048
fight1	2	Train/mean_reward	0.58015243	0.58606615	0.0059137136
fight1	2	Train/mean_episode_length	34.5234	35.0915	0.5680999
fight1	2	Env/average_episode_length	34.452969	35.338286	0.88531696
fight1	2	Env/motion/error_ref_pos	0.25102424	0.26142392	-0.010399687
fight1	2	Env/motion/error_ref_rot	0.24460129	0.24983533	-0.0052340351
fight1	2	Env/motion/error_ref_lin_vel	0.86834459	0.88252283	-0.014178245
fight1	2	Env/motion/error_ref_ang_vel	2.2302837	2.1795011	0.050782547
fight1	2	Env/motion/error_body_pos	6.9064327	6.9065425	-0.00010983467
fight1	2	Env/motion/error_body_rot	0.66998239	0.66082286	0.0091595352
fight1	2	Env/motion/error_body_lin_vel	1.1783312	1.1760939	0.0022372687
fight1	2	Env/motion/error_body_ang_vel	3.1700609	3.1725572	-0.0024962974
fight1	2	Env/motion/error_joint_pos	1.6258825	1.5306284	0.095254072
fight1	2	Env/motion/error_joint_vel	11.841535	11.482077	0.35945803
overall: PASS
three-seed paired training-curve pilot; independent policy rollouts are required before any non-inferiority or benefit claim
